"Year","Export 1","Export 2","Export 3","Export 4","Total exports fob","Total imports cif","Export market 1 (% share)","Export market 2 (% share)","Export market 3 (% share)","Export market 4 (% share)","Growth of real capital stock (%)","Growth of real potential output (%)","Labour productivity growth (%)","Total factor productivity growth (%)"
"1980",,,,,16.749,19.34,19.126,12.64,14.506,4.617,,,,
"1981",,,,,16.095,17.58,16.69,11.47,13.927,5.361,0.8,,0.9,0
"1982",,,,,15.397,16.692,17.379,10.83,14.092,5.963,1.2,,3.1,2.9
"1983",,,,,16.054,16.266,17.319,10.49,13.444,7.397,1.3,,1.3,1.3
"1984",,,,,15.98,16.613,16.048,11.33,12.847,9.754,1.7,,1.2,1.6
"1985",,,,,17.09,18.245,15.816,12.08,12.172,10.262,2.3,,3.8,3.1
"1986",,,,,21.286,22.878,16.783,11.28,11.516,8.439,3.2,,0.6,1
"1987",,,,,25.675,25.499,16.87,11.45,11.439,7.035,3.2,2.6,?0.3,?1.3
"1988",,,,,28.503,27.033,16.965,11.09,11.325,5.576,2.6,2.4,?0.6,?1.3
"1989",,,,,29.564,27.801,16.46,11.52,11.336,5.25,2.6,2.2,2.5,0.9
"1990",9.49,9.126,3.016,1.166,37.037,33.248,18.159,11.83,9.889,4.591,2.4,2,0.4,?0.1
"1991",9.38,9.544,3.142,1.3,37.886,34.057,20.774,10.72,9.536,4.164,2.2,1.9,2.4,1.3
"1992",10.83,10.169,3.642,1.372,41.676,35.521,23.017,10.54,9.714,4.518,2,1.8,1.8,1.1
"1993",9.4,9.524,3.492,1.324,38.207,31.33,22.345,9.44,8.226,4.967,1.8,1.7,2.6,1.1
"1994",10.65,10.623,3.975,1.347,43.12,36.589,20.663,9.62,7.533,5.068,2,1.8,6.5,5.3
"1995",13.21,11.993,4.904,1.357,51.478,45.728,21.429,9.21,7.511,3.845,2.5,2,1.3,1.1
"1996",13.4,11.65,3.487,2.122,51.48,45.004,20.14,9.73,8.316,3.949,2.7,2.1,2.3,1.6
"1997",13.37,11.526,4.942,1.874,49.119,44.406,21.234,11.53,9.546,4.549,3.1,2.2,1.4,1
"1998",13.89,10.853,5.055,1.34,48.839,46.33,20.677,10.81,9.42,4.635,3.3,2.2,1.8,0.8
"1999",14.49,10.821,5.7,1.987,50.4,44.519,19.555,11.12,9.357,5.376,3.1,2.1,2.1,1.3
"2000",14.25,10.483,5.809,3.938,50.38,44.356,19.551,12.99,9.882,5.943,3.4,2,3.4,2.4
"2001",14.86,10.949,6.281,3.145,51.068,44.124,19.779,11.46,9.586,6.902,3.2,1.8,0.6,?0.4
"2002",17.25,11.417,7.179,3.615,56.304,48.887,19.323,11.72,9.709,6.339,2.9,1.7,1,?0.2
"2003",18.4,12.957,8.876,4.522,65.267,56.217,18.833,12.7,8.543,6.249,2.7,1.4,1.1,?0.1
"2004",21.33,14.555,10.313,6.081,75.62,66.887,18.107,13.28,8.716,5.792,2.8,1.3,1.7,1.1
"2005",24,15.146,11.664,9.022,81.905,72.499,18.217,13.68,9.025,6.665,2.9,1.2,1.9,1
"2006",24.9,16.418,11.69,10.667,90.658,84.218,17.706,14.42,8.919,6.345,3.7,1.3,1.8,1.2
"2007",27.81,18.119,13.806,10.974,101.6,97.366,17.48,14.76,8.04,6.162,3.5,1.3,1,?0.3
"2008",30.66,19.76,14.932,13.866,115.93,109.158,17.871,14.6,8.399,5.418,3,1.1,?2.4,?2.9
"2009",23.3,17.32,13.924,8.323,91.817,80.372,17.764,13.1,8.897,6.233,1.9,0.7,?2.2,?3.8
"2010",23.23,17.957,15.213,9.053,95.758,83.17,17.057,13.5,8.167,5.841,1.6,0.5,4.3,2.7
"2011",27.29,19.655,17.414,11.032,111.9,96.431,16.248,12.69,9.412,5.394,1.7,0.5,1.7,1.4
"2012",24.95,18.909,17.899,10.845,106.13,92.3,15.519,13.15,9.316,6.408,1.6,0.5,0,?0.6
"2013",26.48,20.091,19.438,10.309,110.36,97.579,16.986,12.23,8.747,6.126,1.6,0.6,?0.2,?0.4
"2014",,,,,109.4,97.6,,,,,1.6,0.6,0.7,0.2
"1980",,,,,16.749,19.34,19.126,12.64,14.506,4.617,,,,
"1981",,,,,16.095,17.58,16.69,11.47,13.927,5.361,0.8,,0.9,0
"1982",,,,,15.397,16.692,17.379,10.83,14.092,5.963,1.2,,3.1,2.9
"1983",,,,,16.054,16.266,17.319,10.49,13.444,7.397,1.3,,1.3,1.3
"1984",,,,,15.98,16.613,16.048,11.33,12.847,9.754,1.7,,1.2,1.6
"1985",,,,,17.09,18.245,15.816,12.08,12.172,10.262,2.3,,3.8,3.1
"1986",,,,,21.286,22.878,16.783,11.28,11.516,8.439,3.2,,0.6,1
"1987",,,,,25.675,25.499,16.87,11.45,11.439,7.035,3.2,2.6,?0.3,?1.3
"1988",,,,,28.503,27.033,16.965,11.09,11.325,5.576,2.6,2.4,?0.6,?1.3
"1989",,,,,29.564,27.801,16.46,11.52,11.336,5.25,2.6,2.2,2.5,0.9
"1990",9.49,9.126,3.016,1.166,37.037,33.248,18.159,11.83,9.889,4.591,2.4,2,0.4,?0.1
"1991",9.38,9.544,3.142,1.3,37.886,34.057,20.774,10.72,9.536,4.164,2.2,1.9,2.4,1.3
"1992",10.83,10.169,3.642,1.372,41.676,35.521,23.017,10.54,9.714,4.518,2,1.8,1.8,1.1
"1993",9.4,9.524,3.492,1.324,38.207,31.33,22.345,9.44,8.226,4.967,1.8,1.7,2.6,1.1
"1994",10.65,10.623,3.975,1.347,43.12,36.589,20.663,9.62,7.533,5.068,2,1.8,6.5,5.3
"1995",13.21,11.993,4.904,1.357,51.478,45.728,21.429,9.21,7.511,3.845,2.5,2,1.3,1.1
"1996",13.4,11.65,3.487,2.122,51.48,45.004,20.14,9.73,8.316,3.949,2.7,2.1,2.3,1.6
"1997",13.37,11.526,4.942,1.874,49.119,44.406,21.234,11.53,9.546,4.549,3.1,2.2,1.4,1
"1998",13.89,10.853,5.055,1.34,48.839,46.33,20.677,10.81,9.42,4.635,3.3,2.2,1.8,0.8
"1999",14.49,10.821,5.7,1.987,50.4,44.519,19.555,11.12,9.357,5.376,3.1,2.1,2.1,1.3
"2000",14.25,10.483,5.809,3.938,50.38,44.356,19.551,12.99,9.882,5.943,3.4,2,3.4,2.4
"2001",14.86,10.949,6.281,3.145,51.068,44.124,19.779,11.46,9.586,6.902,3.2,1.8,0.6,?0.4
"2002",17.25,11.417,7.179,3.615,56.304,48.887,19.323,11.72,9.709,6.339,2.9,1.7,1,?0.2
"2003",18.4,12.957,8.876,4.522,65.267,56.217,18.833,12.7,8.543,6.249,2.7,1.4,1.1,?0.1
"2004",21.33,14.555,10.313,6.081,75.62,66.887,18.107,13.28,8.716,5.792,2.8,1.3,1.7,1.1
"2005",24,15.146,11.664,9.022,81.905,72.499,18.217,13.68,9.025,6.665,2.9,1.2,1.9,1
"2006",24.9,16.418,11.69,10.667,90.658,84.218,17.706,14.42,8.919,6.345,3.7,1.3,1.8,1.2
"2007",27.81,18.119,13.806,10.974,101.6,97.366,17.48,14.76,8.04,6.162,3.5,1.3,1,?0.3
"2008",30.66,19.76,14.932,13.866,115.93,109.158,17.871,14.6,8.399,5.418,3,1.1,?2.4,?2.9
"2009",23.3,17.32,13.924,8.323,91.817,80.372,17.764,13.1,8.897,6.233,1.9,0.7,?2.2,?3.8
"2010",23.23,17.957,15.213,9.053,95.758,83.17,17.057,13.5,8.167,5.841,1.6,0.5,4.3,2.7
"2011",27.29,19.655,17.414,11.032,111.9,96.431,16.248,12.69,9.412,5.394,1.7,0.5,1.7,1.4
"2012",24.95,18.909,17.899,10.845,106.13,92.3,15.519,13.15,9.316,6.408,1.6,0.5,0,?0.6
"2013",26.48,20.091,19.438,10.309,110.36,97.579,16.986,12.23,8.747,6.126,1.6,0.6,?0.2,?0.4
"2014",,,,,109.4,97.6,,,,,1.6,0.6,0.7,0.2
"1980",,,,,16.749,19.34,19.126,12.64,14.506,4.617,,,,
"1981",,,,,16.095,17.58,16.69,11.47,13.927,5.361,0.8,,0.9,0
"1982",,,,,15.397,16.692,17.379,10.83,14.092,5.963,1.2,,3.1,2.9
"1983",,,,,16.054,16.266,17.319,10.49,13.444,7.397,1.3,,1.3,1.3
"1984",,,,,15.98,16.613,16.048,11.33,12.847,9.754,1.7,,1.2,1.6
"1985",,,,,17.09,18.245,15.816,12.08,12.172,10.262,2.3,,3.8,3.1
"1986",,,,,21.286,22.878,16.783,11.28,11.516,8.439,3.2,,0.6,1
"1987",,,,,25.675,25.499,16.87,11.45,11.439,7.035,3.2,2.6,?0.3,?1.3
"1988",,,,,28.503,27.033,16.965,11.09,11.325,5.576,2.6,2.4,?0.6,?1.3
"1989",,,,,29.564,27.801,16.46,11.52,11.336,5.25,2.6,2.2,2.5,0.9
"1990",9.49,9.126,3.016,1.166,37.037,33.248,18.159,11.83,9.889,4.591,2.4,2,0.4,?0.1
"1991",9.38,9.544,3.142,1.3,37.886,34.057,20.774,10.72,9.536,4.164,2.2,1.9,2.4,1.3
"1992",10.83,10.169,3.642,1.372,41.676,35.521,23.017,10.54,9.714,4.518,2,1.8,1.8,1.1
"1993",9.4,9.524,3.492,1.324,38.207,31.33,22.345,9.44,8.226,4.967,1.8,1.7,2.6,1.1
"1994",10.65,10.623,3.975,1.347,43.12,36.589,20.663,9.62,7.533,5.068,2,1.8,6.5,5.3
"1995",13.21,11.993,4.904,1.357,51.478,45.728,21.429,9.21,7.511,3.845,2.5,2,1.3,1.1
"1996",13.4,11.65,3.487,2.122,51.48,45.004,20.14,9.73,8.316,3.949,2.7,2.1,2.3,1.6
"1997",13.37,11.526,4.942,1.874,49.119,44.406,21.234,11.53,9.546,4.549,3.1,2.2,1.4,1
"1998",13.89,10.853,5.055,1.34,48.839,46.33,20.677,10.81,9.42,4.635,3.3,2.2,1.8,0.8
"1999",14.49,10.821,5.7,1.987,50.4,44.519,19.555,11.12,9.357,5.376,3.1,2.1,2.1,1.3
"2000",14.25,10.483,5.809,3.938,50.38,44.356,19.551,12.99,9.882,5.943,3.4,2,3.4,2.4
