"Month";"??ey";"Akureyri";"Dalatangi";"Gr?mssta?ir";"Keflav?k airport";"Kirkjub?jarklaustur";"Reykjav?k";"St?rh?f?i Westman Islands";"Stykkish?lmur"
"1949-01";;5.2;53.2;2.5;;19.4;9.6;15;12.9
"1949-02";;5.8;26.6;3;;13.9;8.3;17.1;11.4
"1949-03";;7;5.4;1.9;;26.1;8.4;17.2;22.1
"1949-04";;4;40.6;2.3;;20.9;17.8;27.2;8.8
"1949-05";;23.6;48.4;4.1;;6.1;5.5;15;6.8
"1949-06";;6.5;17.4;3;;61;13.2;26.4;11
"1949-07";;10.7;63.8;6.9;;44.3;12.6;16;15.1
"1949-08";;8;33.7;19.6;;53;25.1;39.4;8.9
"1949-09";;10.9;92.2;10.2;;23;18.6;20.8;11
"1949-10";;5;24.3;9.4;;28.2;15.7;15.8;11.4
"1949-11";;17.2;36.8;2.9;;32.2;15;24;10.2
"1949-12";;23.1;20.1;12.6;;39.6;14.2;37.7;11.6
"1950-01";;8.9;69.6;4;;55.7;13.3;34.3;28.8
"1950-02";;10.7;22.3;4.1;;23;4.9;18.4;5.6
"1950-03";;21.6;41.4;2.4;;14.2;13.7;20.2;10.8
"1950-04";;9.9;17.9;3.6;;29;3.2;11.2;1.2
"1950-05";;5.2;22.4;1.5;;49.6;17.5;29.2;6
"1950-06";;1.7;16.4;4.7;;36.8;9.5;16.6;4.7
"1950-07";;10.5;65.7;26.8;;23.6;9.1;8.9;14
"1950-08";;52;64.4;17.4;;24.4;8.3;9.7;22.6
"1950-09";;23;54.9;14.7;;33.8;10.9;10.3;5.2
"1950-10";;24.5;55;10;;59.4;15.7;47.8;15.2
"1950-11";;4.1;59.8;2.9;;33.1;22.9;17.2;21
"1950-12";;16.9;16.4;3.3;;51.4;11.3;24.2;11.4
"1951-01";;15.8;44.5;3.6;;33.9;14.4;25.4;12.8
"1951-02";;13.9;9.2;3;;24.2;9;24.8;8.3
"1951-03";;19.8;20.7;0;;31.6;7.2;12.7;17.7
"1951-04";;10.8;39;0;;46.8;7.6;20;3
"1951-05";;3.7;3.4;1.1;;29.8;4.4;25.8;8
"1951-06";;11.4;33.9;4;;25.5;15.4;16;12.7
"1951-07";;8.1;12.3;7.5;;11.4;12.2;11.4;7.6
"1951-08";;22.4;56.7;21;;18.3;10.5;12;6.4
"1951-09";;10.7;64.2;9.3;;35.4;8;17.6;7.3
"1951-10";;10.6;26.6;4.5;;56.8;9.9;24.2;15
"1951-11";;8.3;27.6;5;;22.1;7.4;24;10.4
"1951-12";;27.5;31;4.5;;39.3;18.1;30.6;13
"1952-01";;14.9;27.5;3;;31.8;30.4;31.9;13.8
"1952-02";;11.9;32;2.1;;42.3;17.7;16.8;21.7
"1952-03";;7.3;25;0;;24.8;8.9;18.5;9.6
"1952-04";;10;22;0;;41.4;4.3;26.5;14.5
"1952-05";;2.8;34.1;3.2;13;22.5;13;26.8;8
"1952-06";;6.4;15.5;3.9;6.3;14.2;5.8;9.2;4.8
"1952-07";;11.8;11.8;22.7;10;18.5;25.1;14.5;6.4
"1952-08";;14;25.3;16.1;26.7;14.3;15.4;26.8;5
"1952-09";;17.4;11.4;20;18;18;18.3;33.3;8.8
"1952-10";;16.6;36.4;9.4;17.8;29.6;21.5;29;11.1
"1952-11";;1.7;8.6;1.5;26.9;20.4;13.9;18.8;26.7
"1952-12";;16.1;17.2;3.5;4.6;29.6;16.7;16;3
"1953-01";;6.6;15.5;4.4;22.6;22.8;17.1;24.8;20
"1953-02";;8;21.9;5;27.1;77.3;40.3;46.6;17.2
"1953-03";;26.4;19.5;3.5;20.4;25.4;18.8;15.8;28.8
"1953-04";;14;16;6.8;10.6;23;17.2;19.9;7.2
"1953-05";;4.5;15.8;2.2;14.8;8.7;16.3;13.5;6.2
"1953-06";;4.3;20.4;6;11.2;58.3;3.7;28.3;9.6
"1953-07";;12.4;66;13;6.3;33.4;9.8;18;8.4
"1953-08";;7.6;32.2;7;21.4;32.7;21.9;16.2;15.3
"1953-09";;6.8;61.5;5;44.9;89;30.9;70.4;18.7
"1953-10";;19.9;56.8;5.1;20.4;43.6;11;25.1;19.1
