Station_ID,Station_Name,Location_Label,Interval_Minutes,Interval_End_Time,Wind_Velocity_Mtr_Sec,Wind_Direction_Variance_Deg,Wind_Direction_Deg,Ambient_Temperature_Deg_C,Global_Horizontal_Irradiance
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 00:05,0,0,0,0.007,0.044
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 00:10,0.181,1.689,88.4,0.559,0.035
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 00:15,0.028,1.703,77.9,0.673,0.034
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 00:20,0.329,1.368,62.29,0.296,0.034
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 00:25,0,0,0,0.55,0.029
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 00:30,0.212,3.733,86.9,0.481,0.031
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 00:35,0.241,1.674,90.2,0.198,0.021
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 00:40,0.003,0.002,89,0.127,0.03
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 00:45,0,0,0,0.081,0.037
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 00:50,0,0,0,0,0.041
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 00:55,0,0,0,0,0.046
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 01:00,0,0,0,0,0.044
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 01:05,0.708,6.05,283.6,0,0.044
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 01:10,0,0,0,0,0.046
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 01:15,0,0,0,0,0.051
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 01:20,0,0,0,0,0.055
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 01:25,0,0,0,0,0.058
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 01:30,0,0,0,0,0.046
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 01:35,0,0,0,0,0.052
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 01:40,0,0,0,0,0.055
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 01:45,0,0,0,0,0.046
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 01:50,0,0,0,0,0.054
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 01:55,0,0,0,0,0.05
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 02:00,0.268,3.881,251.5,0,0.048
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 02:05,0.968,6.89,259.1,0,0.048
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 02:10,0.016,0.008,258.2,0,0.036
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 02:15,0,0,0,0,0.039
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 02:20,0,0,0,0,0.04
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 02:25,0,0,0,0,0.041
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 02:30,0,0,0,0,0.051
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 02:35,0,0,0,0,0.062
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 02:40,0,0,0,0,0.042
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 02:45,0,0,0,0,0.051
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 02:50,0,0,0,0,0.042
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 02:55,0,0,0,0,0.041
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 03:00,0,0,0,0,0.043
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 03:05,0,0,0,0,0.038
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 03:10,0,0,0,0,0.039
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 03:15,0.079,0.978,336.1,0,0.039
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 03:20,0.184,2.607,349.7,0,0.041
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 03:25,0.098,1.526,344.2,0,0.03
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 03:30,0.411,3.194,332.8,0,0.025
SF15,"Warnerville Switchyard, Oakdale","Warnerville",5,2016-01-6? 03:35,0.841,8.14,318,0,0.03
